"id","age","error","depth","cc","dR","dSTD","ta","tb"
"DAMS039542",5345,28,38,3,0,0,3,4
"DAMS039543",5806,33,44,3,0,0,3,4
"DAMS039544",7259,32,67,3,0,0,3,4
"DAMS039545",8657,45,106,3,0,0,3,4
"DAMS039546",9736,35,150,3,0,0,3,4
"DAMS039547",10211,63,161,3,0,0,3,4
"DAMS039548",10936,41,162,3,0,0,3,4
"DAMS039549",10747,49,162,3,0,0,3,4
"DAMS039550",10590,39,168,3,0,0,3,4
"DAMS039551",11117,51,199,3,0,0,3,4
"DAMS039552",9977,45,223,3,0,0,3,4
"DAMS039553",17353,84,254,3,0,0,3,4
"DAMS039554",16558,69,266,3,0,0,3,4
