depth	min.95	max.95	median	mean
38	5967	6269	6132	6126
39	6033	6331	6188	6186
40	6059	6441	6243	6247
41	6084	6595	6297	6308
42	6211	6624	6374	6386
43	6302	6664	6459	6464
44	6361	6732	6538	6542
45	6471	6851	6638	6644
46	6495	7117	6729	6745
47	6513	7420	6815	6847
48	6568	7467	6891	6917
49	6604	7511	6970	6987
50	6625	7572	7041	7057
51	6698	7601	7099	7109
52	6728	7635	7157	7161
53	6747	7679	7217	7212
54	6851	7707	7275	7270
55	6913	7756	7336	7328
56	6966	7815	7396	7386
57	7060	7844	7449	7450
58	7107	7877	7519	7514
59	7146	7947	7588	7577
60	7234	7971	7644	7631
61	7303	7997	7701	7685
62	7345	8049	7754	7739
63	7483	8069	7808	7800
64	7578	8089	7872	7860
65	7610	8137	7941	7921
66	7780	8152	7977	7978
67	7879	8176	8022	8035
68	7926	8288	8083	8092
69	7974	8324	8130	8136
70	7997	8399	8175	8181
71	8013	8516	8210	8225
72	8043	8558	8250	8264
73	8061	8619	8291	8303
74	8074	8700	8326	8342
75	8113	8717	8363	8378
76	8134	8741	8403	8413
77	8149	8784	8442	8449
78	8175	8837	8487	8492
79	8207	8894	8529	8535
80	8228	8987	8571	8578
81	8266	9028	8604	8615
82	8284	9072	8639	8651
83	8307	9119	8675	8688
84	8338	9144	8720	8728
85	8378	9169	8766	8769
86	8404	9219	8811	8810
87	8448	9261	8850	8848
88	8486	9297	8893	8886
89	8526	9337	8933	8925
90	8580	9356	8971	8965
91	8620	9371	9012	9006
92	8659	9411	9056	9046
93	8715	9436	9096	9088
94	8751	9463	9139	9130
95	8780	9496	9180	9172
96	8858	9518	9221	9215
97	8908	9539	9268	9258
98	8944	9584	9312	9301
99	9004	9602	9352	9340
100	9065	9629	9389	9380
101	9101	9673	9433	9419
102	9176	9697	9468	9459
103	9245	9728	9502	9498
104	9304	9768	9538	9538
105	9411	9789	9567	9576
106	9488	9825	9601	9614
107	9508	9877	9642	9653
108	9534	9913	9674	9685
109	9553	9982	9706	9718
110	9563	10067	9735	9751
111	9588	10091	9770	9787
112	9602	10136	9807	9823
113	9616	10216	9835	9858
114	9653	10242	9872	9893
115	9678	10283	9913	9928
116	9691	10326	9951	9963
117	9725	10348	9982	9994
118	9740	10374	10012	10026
119	9754	10419	10044	10058
120	9790	10443	10081	10092
121	9816	10479	10121	10127
122	9834	10520	10152	10162
123	9874	10550	10192	10197
124	9896	10583	10226	10233
125	9925	10625	10261	10268
126	9960	10659	10295	10302
127	9983	10695	10332	10335
128	10002	10732	10369	10369
129	10042	10755	10406	10404
130	10073	10776	10440	10439
131	10095	10822	10480	10475
132	10145	10845	10513	10509
133	10180	10884	10552	10543
134	10202	10906	10589	10578
135	10258	10929	10624	10615
136	10289	10968	10656	10652
137	10329	11017	10693	10689
138	10386	11034	10731	10726
139	10432	11054	10771	10762
140	10464	11089	10805	10799
141	10526	11098	10840	10832
142	10567	11119	10874	10865
143	10595	11150	10910	10898
144	10641	11173	10940	10932
145	10680	11197	10977	10965
146	10710	11230	11010	10998
147	10790	11247	11041	11033
148	10842	11279	11074	11068
149	10871	11319	11109	11102
150	10929	11346	11162	11160
151	10998	11427	11213	11218
152	11049	11592	11258	11276
153	11136	11659	11356	11366
154	11188	11806	11442	11455
155	11211	12030	11520	11545
156	11282	12077	11618	11630
157	11324	12140	11709	11716
158	11357	12306	11798	11801
159	11499	12362	11857	11884
160	11611	12425	11932	11968
161	11686	12507	12012	12051
162	11745	12531	12079	12106
163	11770	12581	12130	12160
164	11809	12633	12193	12215
165	11843	12647	12241	12254
165.000033333333	12058	12661	12429	12405
166	12089	12670	12460	12435
167	12115	12680	12492	12465
168	12154	12710	12528	12504
169	12177	12778	12569	12543
170	12202	12870	12607	12581
171	12232	12979	12656	12629
172	12256	13108	12694	12677
173	12274	13243	12730	12724
174	12295	13300	12776	12769
175	12325	13403	12813	12813
176	12347	13504	12845	12857
177	12369	13585	12891	12901
178	12394	13666	12925	12946
179	12416	13789	12963	12991
180	12445	13845	13002	13033
181	12469	13917	13033	13075
182	12493	13993	13068	13118
183	12509	14052	13109	13161
184	12533	14126	13159	13204
185	12551	14203	13193	13248
186	12582	14276	13240	13294
187	12614	14330	13283	13339
188	12642	14424	13324	13385
189	12670	14472	13363	13428
190	12698	14563	13402	13471
191	12722	14651	13437	13515
192	12755	14710	13489	13561
193	12797	14779	13542	13608
194	12818	14864	13588	13655
195	12857	14944	13637	13702
196	12882	15025	13685	13749
197	12909	15117	13727	13796
198	12951	15181	13784	13847
199	12994	15258	13839	13898
200	13018	15335	13890	13948
201	13088	15445	13966	14034
202	13124	15519	14034	14120
203	13159	15663	14106	14206
204	13240	15715	14206	14294
205	13278	15801	14292	14383
206	13323	15907	14385	14471
207	13395	15986	14459	14555
208	13445	16079	14552	14638
209	13494	16190	14636	14722
210	13610	16261	14719	14807
211	13664	16333	14797	14891
212	13740	16442	14888	14976
213	13816	16535	14987	15067
214	13879	16633	15078	15157
215	13932	16769	15160	15248
216	14041	16829	15257	15335
217	14124	16899	15353	15423
218	14185	16999	15416	15510
219	14286	17062	15491	15598
220	14385	17144	15579	15685
221	14452	17258	15678	15772
222	14586	17300	15767	15863
223	14678	17361	15864	15955
224	14733	17491	15950	16046
225	14826	17568	16055	16147
226	14901	17679	16174	16249
227	14973	17785	16291	16351
228	15079	17869	16399	16454
229	15191	17973	16520	16557
230	15270	18086	16643	16661
231	15396	18124	16745	16768
232	15500	18199	16865	16875
233	15576	18278	16980	16982
234	15721	18341	17094	17091
235	15859	18408	17209	17199
236	15950	18487	17318	17308
237	16153	18530	17414	17416
238	16263	18598	17526	17525
239	16381	18716	17657	17633
