id_sample,id_cm,depth,min,max,median,mean,clay,silt_fine,silt_coarse,sand,TC,TIC,TOC,TN,TS,d13C,d18O,EM1,EM2,EM3,EM4,EM5,EM1sd,EM2sd,EM3sd,EM4sd,EM5sd
TAGUA TAGUA 38,38-39 cm,38,5859,6219,6044,6038,6.911006,37.543115,32.398532,23.147352,4.35,0.05,4.3,0.546,0.0695,-1.179149971971,-1.70104893207455,0.203266992572023,0.796733007427977,0,0,0,0.112053589383564,0.172044051629642,0.083697369435952,0.058563987204008,0.021214286153499
TAGUA TAGUA 43,43-44 cm,43,6295,6636,6479,6475,6.833565,30.79337,27.678079,34.694984,5.89,2.98,2.91,0.373,0.0182,-1.43499837717196,-1.91928105872753,0.165613835273076,0.694234862723698,0,0.063689096575041,0.076462205428186,0.065469413441161,0.097044954569099,0.086569944056048,0.08035638589912,0.069768113826406
TAGUA TAGUA 47,47-48 cm,47,6514,7167,6755,6778,7.939154,34.55387,29.408213,28.098762,5.86,3.95,1.91,0.25,0.0117,-0.806610668865473,-0.982011487621718,0.254245502645375,0.745754497354625,0,0,0,0.089708851203411,0.127570538568689,0.098505342147356,0.052237001116843,0.016202502906099
TAGUA TAGUA 51,51-52 cm,51,6677,7487,7018,7035,7.944518,33.126796,31.313096,27.61559,5.37,4.4,0.97,0.136,0.00616,-0.581187208512561,-0.580550354559717,0.224803046500423,0.775196953499577,0,0,0,0.085443983598203,0.133278060144634,0.105297717646893,0.056184342681667,0.014859483472422
TAGUA TAGUA 54,54-55 cm,54,6817,7710,7201,7219,7.985798,31.945447,30.079146,29.989611,5.07,4.18,0.89,0.113,0.00394,-1.58411974417823,-0.697353101364643,0.234245964124793,0.765754035875206,0,0,0,0.080866916208096,0.126357182384548,0.108379798370549,0.061394755635158,0.017053591514506
TAGUA TAGUA 58,58-59 cm,58,6995,7925,7478,7470,8.586582,32.882009,30.625898,27.905511,5.08,4.29,0.79,0.107,0.00996,-1.12632283804662,-1.32241792130626,0.276824499973506,0.723175500026494,0,0,0,0.089282321664828,0.124247306714131,0.08841512518721,0.062111154631873,0.020640202878741
TAGUA TAGUA 62,62-63 cm,62,7302,8018,7751,7727,6.238215,27.712629,32.320213,33.728943,5.56,4.65,0.91,0.112,0.0124,-1.37904674636958,-1.36532056960831,0.100505631330874,0.872829694541944,0.026664674127183,0,0,0.063796500807557,0.136748608244424,0.118359961658,0.080812072203349,0.028977844549893
TAGUA TAGUA 66,66-67 cm,66,7801,8131,7966,7970,5.621443,27.267583,31.95837,35.152604,6.34,5.28,1.06,0.103,0.00417,-1.5543131516988,-1.31392571460035,0.045871126013699,0.869484516531964,0.026640651514178,0.058003705940159,0,0.060432124035627,0.133178726629696,0.109590804597389,0.083914337766378,0.044493692068339
TAGUA TAGUA 70,70-71 cm,70,8002,8376,8167,8172,5.47766,27.364793,32.428333,34.729213,5.17,4.4,0.77,0.0888,0.00844,-1.13935004006212,-1.14515395174263,0.043421188555538,0.909864677948353,0.043876949545269,0.00283718395084,0,0.063993388271223,0.142463187352204,0.120931887785577,0.084070473250372,0.037402733788034
TAGUA TAGUA 74,74-75 cm,74,8082,8706,8317,8336,4.974348,25.840278,36.091783,33.093588,5.62,4.91,0.71,0.0967,0.00434,-1.32940896090583,-1.46289870661312,0,1,0,0,0,0.055406186320428,0.16216948322473,0.130153449569975,0.088332814302051,0.03358675152054
