id_sample,id_cm,depth,min,max,median,mean,clay,silt_fine,silt_coarse,sand,TC,TIC,TOC,TN,TS,d13C,d18O,
TAGUA TAGUA 38,38-39 cm,38,5859,6219,6044,6038,6.911,37.543,32.399,23.147,4.35,0.05,4.3,0.546,0.0695,-1.179149971971,-1.70104893207455,
TAGUA TAGUA 43,43-44 cm,43,6295,6636,6479,6475,6.834,30.793,27.678,34.695,5.89,2.98,2.91,0.373,0.0182,-1.43499837717196,-1.91928105872753,
TAGUA TAGUA 47,47-48 cm,47,6514,7167,6755,6778,7.939,34.554,29.408,28.099,5.86,3.95,1.91,0.25,0.0117,-0.806610668865473,-0.982011487621718,
TAGUA TAGUA 51,51-52 cm,51,6677,7487,7018,7035,7.945,33.127,31.313,27.616,5.37,4.4,0.97,0.136,0.00616,-0.581187208512561,-0.580550354559717,
TAGUA TAGUA 54,54-55 cm,54,6817,7710,7201,7219,7.986,31.945,30.079,29.99,5.07,4.18,0.89,0.113,0.00394,-1.58411974417823,-0.697353101364643,
TAGUA TAGUA 58,58-59 cm,58,6995,7925,7478,7470,8.587,32.882,30.626,27.906,5.08,4.29,0.79,0.107,0.00996,-1.12632283804662,-1.32241792130626,Lasca_59-60_bolsa_carbon
TAGUA TAGUA 62,62-63 cm,62,7302,8018,7751,7727,6.238,27.713,32.32,33.729,5.56,4.65,0.91,0.112,0.0124,-1.37904674636958,-1.36532056960831,Lasca_62_63_bolsa_carbon
TAGUA TAGUA 66,66-67 cm,66,7801,8131,7966,7970,5.621,27.268,31.958,35.153,6.34,5.28,1.06,0.103,0.00417,-1.5543131516988,-1.31392571460035,
TAGUA TAGUA 70,70-71 cm,70,8002,8376,8167,8172,5.478,27.365,32.428,34.729,5.17,4.4,0.77,0.0888,0.00844,-1.13935004006212,-1.14515395174263,
TAGUA TAGUA 74,74-75 cm,74,8082,8706,8317,8336,4.974,25.84,36.092,33.094,5.62,4.91,0.71,0.0967,0.00434,-1.32940896090583,-1.46289870661312,
TAGUA TAGUA 78,78-79 cm,78,8158,8910,8476,8491,6.01,27.777,31.82,34.394,5.28,4.67,0.61,0.1,0.00774,-0.634254273480251,-0.411847319044906,
TAGUA TAGUA 82,82-83 cm,82,8269,9064,8641,8648,3.29,15.046,19.617,62.046,5.25,4.71,0.54,0.086,0.00365,-1.43159440383484,0.992067358212208,
TAGUA TAGUA 86,86-87 cm,86,8401,9214,8807,8808,3.854,18.526,30.253,47.366,4.68,4.38,0.3,0.0686,0.00607,-1.2759753250402,0.116678374719681,
TAGUA TAGUA 90,90-91 cm,90,8553,9346,8973,8968,2.795,15.512,20.718,60.975,3.77,3.53,0.24,0.0677,0.00849,-1.77800481183136,-0.2427654728948,
TAGUA TAGUA 94,94-95 cm,94,8713,9483,9140,9127,2.454,15.478,17.233,64.838,4.01,3.74,0.27,0.0621,0.00942,-1.60622060514012,0.17636918718633,
TAGUA TAGUA 98,98-99 cm,98,8890,9598,9305,9286,4.708,28.9,52.528,13.863,3.25,3,0.25,0.0561,0.00954,-2.97172650804271,-0.457719468130852,
TAGUA TAGUA 102,102-103 cm,102,9191,9691,9457,9451,2.567,16.39,24.071,56.973,3.2,2.8,0.4,0.0619,0.013,-2.6350642288566,-0.834864734963448,
TAGUA TAGUA 106,106-107 cm,106,9477,9836,9593,9606,3.572,19.726,40.595,36.107,2.5,2.01,0.49,0.069,0.00838,-2.92169203433987,-0.311580520045542,
TAGUA TAGUA 110,110-111 cm,110,9569,10000,9736,9747,3.846,20.259,44.308,31.587,3.03,2.49,0.54,0.0753,0.0132,-2.06280371740027,-0.612580935917265,
TAGUA TAGUA 114,114-115 cm,114,9636,10221,9862,9878,2.664,15.343,26.076,55.916,3.17,2.75,0.42,0.0744,0.0102,-3.80783259023087,-2.10994241392927,
TAGUA TAGUA 118,118-119 cm,118,9703,10398,9994,10009,3.428,19.24,35.859,41.473,3.42,3.09,0.33,0.0672,0.012,-3.5078151787613,-1.38800988311218,
TAGUA TAGUA 122,122-123 cm,122,9811,10530,10139,10147,2.39,14.136,22.399,61.075,3.47,3.08,0.39,0.067,0.00566,-2.96269129504156,-0.334858046673164,
TAGUA TAGUA 126,126-127 cm,126,9918,10661,10279,10284,6.035,37.326,49.213,7.426,4.08,3.82,0.26,0.0657,0.0027,-1.88369504222977,-0.147242145998185,
TAGUA TAGUA 130,130-131 cm,130,10041,10790,10418,10420,2.897,18.78,33.719,44.604,3.99,3.52,0.47,0.106,0.022,-3.37804940796714,-2.10223440125611,
TAGUA TAGUA 134,134-135 cm,134,10165,10909,10558,10555,2.984,25.22,37.171,34.625,3.46,3.21,0.25,0.0647,0,-3.28717031430206,-2.85348118831468,
TAGUA TAGUA 138,138-139 cm,138,10291,11016,10704,10691,2.552,22.957,34.682,39.809,2.93,2.59,0.34,0.069,0.00275,-4.20755872980775,-3.76108359736642,
TAGUA TAGUA 142,142-143 cm,142,10466,11086,10836,10820,2.164,21.465,32.343,44.027,1.45,1.18,0.27,0.0828,0.00281,-4.47280176980885,-3.6999798376157,
TAGUA TAGUA 146,146-147 cm,146,10656,11151,10967,10951,3.332,27.874,38.774,30.021,2.65,2.27,0.38,0.102,0.00606,-5.29633991568921,-5.40435202199307,
TAGUA TAGUA 150,150-151 cm,150,10904,11260,11158,11146,8.566,26.246,36.396,28.792,6.68,6.51,0.17,0.0631,0.00236,0.41636250053942,-1.06935046139345,
TAGUA TAGUA 154,154-155 cm,154,11160,11840,11442,11455,8.176,20.546,36.605,34.672,5.62,5.49,0.13,0.056,0.00257,1.01866731748532,-0.293136138980984,
TAGUA TAGUA 158,158-159 cm,158,11332,12412,11945,11917,8.562,21.209,29.942,40.287,3.66,3.58,0.08,0.0445,0.00259,0.072218806510153,-0.553197622445254,
TAGUA TAGUA 162,162-163 cm,162,11930,12531,12249,12285,9.634,22.604,29.309,38.454,2.03,2.04,-0.01,0.0371,0.00666,-2.2370499975219,-1.13636519253136,
