depth,Melosira_aff_varians,Stephanocyclus_planus,Discostella_aff_stelligera,Aulacoseira_granulata,Aulacoseira_sp2_aff_liucoensis,Aulacoseira_sp3_grande,small_fragilarioids,Fragilaria_sp1,Cymbella_aff_subturgidula,Ulnaria_sp2_thin,Nitzschia_sp1_square,Nitzschia_sp2_aff_frustulum,Nitzschia_sp3_long_without_striae,Eunotia_sp1_large,Eunotia_sp2_aff_bilunaris,Epithimia_turgida,Epithemia_gibba,Anomoeoneis_sphaerophora,Anomoeoneis_sp2_smaller,Cymbella_sp1_aff_subturgidula,Cymbella_sp2_aff_fontinalis,Cymbella_sp4_thin,Enyonema_sp1,Encyonema_sp2,Gomphonema_sp1_aff_parvalum,Gomphonema_sp2_aff_celatum_with_stigma,Gomphonema_sp3_aff_spatiosum,Gomphonema_sp4_aff_gracile,Gomphonema_sp5_aff_spatiosum,Gomphonema_aff_anglicum,Gomphonema_lagenula,Diploneis_sp1 ,Pinnularia_nov_sp18,Pinnularia_sp1_large,Pinnularia_aff_gigas,Pinnularia_acrosphaeria,Pinnularia_inconstans,Cocconeis_sp1_aff_placentula,Sellahora_sp1_aff_nigri,Sellaphora_sp2_rostrado,Sellaphora_sp3_classic,Planothidium_sp1_aff_lancelatum,Planothidium_sp2_aff_cross,Planothidium_sp3,Stauroneis_aff_heinii,Amphora_sp1 ,Amphora_copulata,Craticula_sp1,Craticula_sp2_smaller,Cymbopleura_sp1,Hanzschia_sp1,Navicula_sp1,Sellaphora_pupula,Sellaphora_laevis,Caloneis_sp1,Campylodiscus,Adlafia_sp1,Achnanthidium_macrocephalum
9,1,4,2,16,0,0,164,5,13,3,32,49,0,3,2,0,0,0,0,18,19,0,1,0,7,33,0,0,0,3,0,1,0,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,7,10,1,13,0,0,156,2,14,2,49,39,7,0,0,13,0,0,0,18,12,0,1,0,0,30,6,4,0,1,0,0,0,0,1,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,6,0,31,0,0,268,5,4,0,60,33,9,0,0,13,0,0,0,5,1,0,0,0,0,31,5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
33,8,6,0,1,0,0,3,14,12,0,228,26,6,0,0,71,0,0,0,5,2,0,0,0,12,19,77,0,0,2,0,0,8,0,1,0,0,0,0,0,0,1,1,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0
43,4,23,0,22,0,0,47,1,5,0,42,7,0,0,0,49,0,142,0,0,0,2,0,1,6,15,40,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,18,0,1,0,0,0,0,0,0,0,0,0,0
58,4,27,0,7,0,0,0,1,8,2,43,0,0,0,0,84,0,166,3,4,0,0,0,0,9,12,58,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,11,0,0,5,0,2,1,0,0,0,0,0,0
66,4,20,0,22,1,0,4,0,28,0,33,1,1,0,0,16,0,185,14,4,4,0,0,0,10,88,12,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,12,0,0,1,0,2,0,1,0,0,0,0,0
78,5,8,0,6,0,0,0,1,13,0,36,11,2,0,0,0,0,102,13,9,2,0,0,0,6,67,125,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,22,1,0,1,0,0,0,0,0,0,0,0,0
86,2,6,0,7,0,0,0,0,0,17,81,13,11,0,0,41,2,96,3,6,0,0,0,0,0,43,88,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0,0,1,3,0,0
98,6,12,0,7,0,0,5,5,13,0,11,2,0,0,0,17,1,327,4,3,1,0,0,0,1,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
