age,id,depth,min,max,mean,Cyperaceae,Juncaceae,Typha,Potamogeton,Lemna,Nuphar,Butomus umbellatus,Spora monolete,Ophioglossum/Osmunda,Pteris,Other pterophyta,Type 128,Botryococcus,Zygnema,Spirogyra,Mougeotia,Pediastrum,Glomus,Pseudoshizaea,Sporormiella,Coniochaeta,Chaetomium
6044,38-39,38,5859,6219,6038,3086.95928080381,1102.48545742993,9701.87202538339,220.497091485986,220.497091485986,220.497091485986,220.497091485986,220.497091485986,881.988365943945,2204.97091485986,0,0,4630.43892120571,0,3307.45637228979,0,0,661.491274457959,0,0,0,0
6479,43-44,43,6295,6636,6475,2866.46218931782,440.994182971973,7496.90111052353,220.497091485986,661.491274457959,440.994182971973,0,220.497091485986,440.994182971973,661.491274457959,0,0,1322.98254891592,0,1102.48545742993,0,0,881.988365943945,0,0,0,0
6755,47-48,47,6514,7167,6778,1763.97673188789,661.491274457959,10142.8662083554,0,220.497091485986,0,0,881.988365943945,0,1322.98254891592,0,0,2645.96509783184,440.994182971973,3968.94764674775,0,0,440.994182971973,0,0,220.497091485986,0
7018,51-52,51,6677,7487,7035,2866.46218931782,220.497091485986,8599.38656795347,220.497091485986,220.497091485986,0,0,1322.98254891592,220.497091485986,3527.95346377578,0,0,5071.43310417768,220.497091485986,3307.45637228979,0,0,661.491274457959,0,0,0,440.994182971973
7201,54-55,54,6817,7710,7219,3086.95928080381,0,7496.90111052353,220.497091485986,220.497091485986,0,0,1984.47382337388,0,1322.98254891592,0,0,3527.95346377578,881.988365943945,1984.47382337388,0,0,2645.96509783184,0,0,220.497091485986,0
7478,58-59,58,6995,7925,7470,1543.4796404019,220.497091485986,12347.8371232152,220.497091485986,0,0,0,440.994182971973,440.994182971973,3086.95928080381,0,0,3748.45055526177,0,5953.42147012163,0,0,2645.96509783184,0,0,0,0
7751,62-63,62,7302,8018,7727,1102.48545742993,0,2866.46218931782,440.994182971973,0,0,0,661.491274457959,0,661.491274457959,0,0,1984.47382337388,881.988365943945,1984.47382337388,0,0,881.988365943945,0,0,0,0
8167,70-71,70,8002,8376,8172,440.994182971973,440.994182971973,3748.45055526177,0,0,0,0,881.988365943945,220.497091485986,220.497091485986,0,0,1763.97673188789,220.497091485986,440.994182971973,0,0,0,0,0,0,0
8476,78-79,78,8158,8910,8491,0,0,1543.4796404019,0,0,0,0,220.497091485986,0,440.994182971973,0,0,881.988365943945,0,1322.98254891592,0,0,0,0,0,0,0
8807,86-87,86,8401,9214,8808,0,0,2425.46800634585,0,0,0,0,0,220.497091485986,440.994182971973,0,0,2425.46800634585,0,661.491274457959,0,0,0,0,0,0,220.497091485986
9140,94-95,94,8713,9483,9127,220.497091485986,220.497091485986,1543.4796404019,0,0,0,0,661.491274457959,220.497091485986,220.497091485986,0,0,3086.95928080381,220.497091485986,1322.98254891592,0,0,0,0,0,0,0
9541,103-104,103,9359,9750,9545,0,0,661.491274457959,0,0,0,0,0,0,440.994182971973,0,0,661.491274457959,0,0,0,0,0,0,0,0,0
9763,110-111,110,9597,9994,9770,440.994182971973,0,661.491274457959,0,0,0,0,0,0,440.994182971973,0,0,1984.47382337388,0,881.988365943945,0,0,440.994182971973,0,0,0,0
10045,118-119,118,9804,10338,10052,0,0,661.491274457959,0,0,0,440.994182971973,0,0,881.988365943945,0,220.497091485986,1543.4796404019,0,440.994182971973,0,0,0,0,0,0,0
10329,126-127,126,10049,10638,10333,0,220.497091485986,661.491274457959,0,0,0,0,0,0,220.497091485986,0,0,2204.97091485986,220.497091485986,440.994182971973,0,0,0,0,0,0,0
10614,134-135,134,10325,10912,10616,0,0,0,220.497091485986,0,0,0,0,0,0,0,0,881.988365943945,0,0,0,0,220.497091485986,0,0,0,0
10899,142-143,142,10634,11176,10899,0,0,0,0,0,0,0,0,0,0,0,0,440.994182971973,0,0,0,0,0,0,0,0,0
11182,150-151,150,11056,11525,11193,0,0,220.497091485986,0,0,0,0,661.491274457959,0,1543.4796404019,0,0,7937.89529349551,220.497091485986,1322.98254891592,0,0,661.491274457959,0,0,0,0
11734,158-159,158,11470,12089,11745,0,220.497091485986,440.994182971973,220.497091485986,0,0,0,220.497091485986,0,220.497091485986,0,0,9701.87202538339,0,220.497091485986,0,0,0,0,0,0,0
12220,166-167,166,11992,12594,12252,220.497091485986,0,661.491274457959,0,0,0,0,440.994182971973,0,0,0,0,10363.3632998414,0,1102.48545742993,0,0,0,0,220.497091485986,0,0
12481,174-175,174,12224,12898,12512,0,0,661.491274457959,0,0,0,0,661.491274457959,220.497091485986,220.497091485986,0,0,6614.91274457959,220.497091485986,2204.97091485986,220.497091485986,0,661.491274457959,0,220.497091485986,0,0
12618,182-183,182,12346,13269,12658,0,0,440.994182971973,0,0,0,0,0,0,0,220.497091485986,0,18962.7498677948,0,2425.46800634585,0,0,0,0,0,0,0
12862,190-191,190,12583,13821,12915,0,0,0,0,0,0,0,661.491274457959,0,220.497091485986,0,0,27562.1364357483,0,1984.47382337388,0,0,440.994182971973,0,0,0,0
13072,198-199,198,12888,14342,13160,220.497091485986,220.497091485986,661.491274457959,0,0,0,0,881.988365943945,440.994182971973,881.988365943945,0,220.497091485986,21829.2120571126,0,2645.96509783184,0,0,881.988365943945,0,0,0,0
13668,206-207,206,13242,15037,13763,220.497091485986,0,440.994182971973,0,0,0,0,440.994182971973,220.497091485986,1102.48545742993,0,0,26680.1480698043,220.497091485986,1984.47382337388,0,0,440.994182971973,0,0,0,0
14434,214-215,214,13733,15853,14515,0,0,1102.48545742993,440.994182971973,0,0,0,220.497091485986,0,661.491274457959,0,0,36161.5230037017,0,5953.42147012163,0,220.497091485986,661.491274457959,220.497091485986,0,0,0
15208,222-223,222,14365,16716,15270,0,0,1102.48545742993,661.491274457959,0,0,0,0,0,0,0,0,18962.7498677948,0,2866.46218931782,0,0,0,0,0,0,0
16180,230-231,230,15140,17581,16222,0,0,440.994182971973,0,0,0,0,220.497091485986,0,440.994182971973,0,0,20947.2236911687,0,4189.44473823374,0,0,220.497091485986,0,0,0,0
17218,238-239,238,16033,18471,17229,0,0,0,0,0,0,0,220.497091485986,0,0,0,0,1102.48545742993,0,0,0,0,0,0,0,0,0
18271,246-247,246,17080,19277,18248,0,0,0,0,0,0,0,0,0,0,0,0,881.988365943945,0,0,0,0,0,0,0,0,0
19250,254-255,254,18272,19959,19234,0,0,0,0,0,0,0,0,0,0,0,0,7055.90692755156,0,881.988365943945,0,0,0,0,0,0,0
19793,262-263,262,19164,20332,19780,0,0,440.994182971973,0,0,0,0,440.994182971973,220.497091485986,2866.46218931782,0,0,6173.91856160762,0,1322.98254891592,0,0,0,0,0,0,0
