age,Depth [m],Cal age min [ka BP],Cal age max [ka BP],Accu model [a/cm],Acaena,Chen/Amar ,Apiaceae,Asteraceae Liguliflorae,Asteraceae Tubuliflorae,Austrocedrus chilensis,Berberis,Brassicaceae,Calycera,Caryophyllaceae,Cyperaceae,Drimys winteri,Elodea,Embothrium coccineum,Ephedra andina,Ericaceae,Gentiana,Gentianella,Gunnera chilensis,Isoetes savatieri,Kageneckia,Krameria ,Lamiaceae,Lithraea caustica,Malvaceae,Maytenus ,Misodendrum ,Muehlenbeckia ,Mutisia ,Myriophyllum,Myrtaceae,Nothofagus dombeyi-type,Nothofagus obliqua-type,Onagraceae,Plantago,Poaceae,Podocarpus salignus ,Polypodiaceae,Prumnopitys andina,Pteris chilensis,Rosaceae,Rubiaceae,Rumex,Typha angustifolia,Utricularia,Valeriana
11.4065,2.2,10.497,12.389,165.416,0,56,3,0,8,0,0,0,0,0,2,4,0,0,1,0,0,0,3,0,0,0,0,6,3,0,0,0,0,2,0,12,0,0,0,11,3,0,18,2,0,0,0,0,0,0
13.0606,2.3,12.489,13.676,238.862,0,40,10,2,14,0,0,0,0,0,7,0,0,0,1,0,0,0,8,0,0,0,0,0,0,5,0,0,0,1,3,7,0,0,0,26,0,4,3,0,0,4,0,14,0,0
15.4492,2.4,14.215,16.6652,43.67,3,22,3,0,6,0,0,0,0,2,14,0,0,0,4,0,0,0,3,0,0,0,0,0,0,2,0,0,0,9,0,18,0,4,0,30,12,3,22,0,0,0,0,0,0,3
15.8859,2.5,14.8835,16.8715,43.67,2,18,2,2,10,0,0,0,0,2,8,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,18,0,0,0,37,3,4,22,0,0,4,3,0,0,0
16.3226,2.6,15.4905,17.1231,43.67,2,20,3,0,7,0,0,0,0,2,11,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,20,0,0,0,42,3,0,15,0,0,0,0,0,0,0
16.7593,2.7,16.0191,17.4546,43.67,2,27,3,0,9,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,21,0,4,0,13,10,0,30,2,0,0,0,0,0,0
17.196,2.8,16.4213,17.9039,43.67,0,21,2,2,16,0,0,0,0,0,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,18,0,4,0,14,5,0,24,2,0,0,0,1,0,0
17.6327,2.9,16.7278,18.4572,74.389,0,19,2,0,15,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,22,0,3,0,12,5,0,33,0,0,0,0,0,0,0
18.3766,3,17.5498,19.1321,74.389,4,8,7,2,25,0,0,2,0,2,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,28,1,3,0,8,2,2,26,0,0,0,0,0,0,0
19.1205,3.1,18.349,19.8322,74.389,5,7,3,0,19,0,0,0,3,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,32,1,4,0,18,2,3,24,0,0,0,0,0,0,4
