,ID_SITE,DEPTH,EST_AGE,QUANTITY,UNIT,METHOD,TYPE
35138,128,0.088028,238.64,104166.67,XARE,POLS,INFL
35139,128,0.176056,391.64,358796.3,XARE,POLS,INFL
35140,128,0.305164,634.59,384259.26,XARE,POLS,INFL
35141,128,0.399061,832.81,745370.37,XARE,POLS,INFL
35142,128,0.504695,1085.61,787037.04,XARE,POLS,INFL
35143,128,0.610329,1377.96,571759.26,XARE,POLS,INFL
35144,128,0.704225,1677.76,708333.33,XARE,POLS,INFL
35145,128,0.798122,2021.21,321759.26,XARE,POLS,INFL
35146,128,0.892019,2414.16,335648.15,XARE,POLS,INFL
35147,128,0.997653,2922.66,185185.19,XARE,POLS,INFL
35148,128,1.091549,3437.84,78703.7,XARE,POLS,INFL
35149,128,1.20892,4155.41,11574.07,XARE,POLS,INFL
35150,128,1.29108,4697.45,48611.11,XARE,POLS,INFL
35151,128,1.396714,5431.28,53240.74,XARE,POLS,INFL
35152,128,1.502347,6194.53,41666.66,XARE,POLS,INFL
35153,128,1.607981,6974.11,48611.11,XARE,POLS,INFL
35154,128,1.713615,7762.15,451388.89,XARE,POLS,INFL
35155,128,1.795775,8386.26,289351.85,XARE,POLS,INFL
35156,128,1.913145,9306.88,32407.4,XARE,POLS,INFL
35157,128,1.995305,9979.42,16203.7,XARE,POLS,INFL
35158,128,2.071596,10637.95,0,XARE,POLS,INFL
35159,128,2.206573,12042.7,27777.77,XARE,POLS,INFL
35160,128,2.312207,13438.22,20833.33,XARE,POLS,INFL
35161,128,2.406103,14656.48,534722.22,XARE,POLS,INFL
35162,128,2.488263,15491.92,11574.07,XARE,POLS,INFL
35163,128,2.605634,16339.61,0,XARE,POLS,INFL
35164,128,2.69953,16817.78,0,XARE,POLS,INFL
35165,128,2.78169,17158.1,0,XARE,POLS,INFL
35166,128,2.887324,17577.81,0,XARE,POLS,INFL
35167,128,3.016432,18189.43,0,XARE,POLS,INFL
35168,128,3.110329,18717.02,0,XARE,POLS,INFL
35169,128,3.215962,19384.24,0,XARE,POLS,INFL
35170,128,3.298122,19951.09,0,XARE,POLS,INFL
35171,128,3.403756,20733.38,0,XARE,POLS,INFL
35172,128,3.497653,21471.91,0,XARE,POLS,INFL
35173,128,3.615023,22441.25,0,XARE,POLS,INFL
35174,128,3.720657,23347.15,0,XARE,POLS,INFL
35175,128,3.814554,24170.76,0,XARE,POLS,INFL
35176,128,3.879108,24743.26,0,XARE,POLS,INFL
35177,128,3.99061,25736.77,0,XARE,POLS,INFL
35178,128,4.096244,26674.28,0,XARE,POLS,INFL
35179,128,4.201878,27597.22,0,XARE,POLS,INFL
35180,128,4.278169,28248.49,0,XARE,POLS,INFL
35181,128,4.389671,29167.69,0,XARE,POLS,INFL
35182,128,4.495305,29992.23,0,XARE,POLS,INFL
35183,128,4.612676,30841.9,0,XARE,POLS,INFL
35184,128,4.730047,31606.96,0,XARE,POLS,INFL
35185,128,4.80047,32019.09,0,XARE,POLS,INFL
35186,128,4.894366,32507.07,0,XARE,POLS,INFL
35187,128,5,32963.15,0,XARE,POLS,INFL
35188,128,5.093897,33281.09,0,XARE,POLS,INFL
35189,128,5.170188,33486.02,0,XARE,POLS,INFL
35190,128,5.287559,33726.93,0,XARE,POLS,INFL
35191,128,5.410798,33910.33,0,XARE,POLS,INFL
35192,128,5.516432,34035.29,6944.44,XARE,POLS,INFL
35193,128,5.610329,34139.05,16203.7,XARE,POLS,INFL
35194,128,5.727699,34282.05,27777.77,XARE,POLS,INFL
35195,128,5.809859,34404.99,20833.33,XARE,POLS,INFL
35196,128,6.00939,34847.47,27777.77,XARE,POLS,INFL
35197,128,6.115024,35192.67,152777.78,XARE,POLS,INFL
