Depth sed [m],"Cal age min [ka BP] (CLAM_min95, Classical age-mod...)","Cal age max [ka BP] (CLAM_max95, Classical age-mod...)","Cal age [ka BP] (CLAM_best, Classical age-mode...)",Accu model [a/cm] (Classical age-modeling approa...),Age model type,Sample ID (ACER sample ID),"A. caven [#] (Counting, palynology)","Acaena [#] (Counting, palynology)","Chen/Amar [#] (Counting, palynology)","Apiae [#] (Counting, palynology)","A. chilensis [#] (Counting, palynology)","Astae [#] (Liguliflorae, Counting, palyn...)","Astae [#] (Tubuliflorae, Counting, palyn...)","A. chilensis-T [#] (Counting, palynology)","Ber [#] (Counting, palynology)","Braae [#] (Counting, palynology)","Calycera [#] (Counting, palynology)","Cphae [#] (Counting, palynology)","Cypae [#] (Counting, palynology)","D. winteri [#] (Counting, palynology)","Elo [#] (Counting, palynology)","E. coccineum [#] (Counting, palynology)","E. andina [#] (Counting, palynology)","Eriae [#] (Counting, palynology)","Gen [#] (Counting, palynology)","Gea [#] (Counting, palynology)","G. chilensis [#] (Counting, palynology)","I. savatieri [#] (Counting, palynology)","Kageneckia [#] (Counting, palynology)","Krameria [#] (Counting, palynology)","Lamae [#] (Counting, palynology)","Leg [#] (Counting, palynology)","L. guaicuru [#] (Counting, palynology)","L. caustica [#] (Counting, palynology)","Lomatia [#] (Counting, palynology)","L. paniculatum [#] (Counting, palynology)","Malvae [#] (Counting, palynology)","Maytenus [#] (Counting, palynology)","Misodendrum [#] (Counting, palynology)","Muehlenbeckia [#] (Counting, palynology)","Mutisia [#] (Counting, palynology)","Myo [#] (Counting, palynology)","Mytae [#] (Counting, palynology)","N. depressa [#] (Counting, palynology)","N. dombeyi-T [#] (Counting, palynology)","N. obliqua-T [#] (Counting, palynology)","Onaae [#] (Counting, palynology)","Phrygilanthus [#] (Counting, palynology)","Pla [#] (Counting, palynology)","Poac [#] (Counting, palynology)","P. salignus [#] (Counting, palynology)","Pocae [#] (Counting, palynology)","P. feuillei [#] (Counting, palynology)","Pot [#] (Counting, palynology)","P. splendens [#] (Counting, palynology)","P. andina [#] (Counting, palynology)","P. chilensis [#] (Counting, palynology)","Quinchamalium [#] (Counting, palynology)","Ranae [#] (Counting, palynology)","Rosae [#] (Counting, palynology)","Rubae [#] (Counting, palynology)","Rum [#] (Counting, palynology)","Schinus [#] (Counting, palynology)","Typ.a [#] (Counting, palynology)","Utr [#] (Counting, palynology)","Val [#] (Counting, palynology)","Viviania [#] (Counting, palynology)","W. trichosperma [#] (Counting, palynology)","Wendtia [#] (Counting, palynology)"
0,NA,NA,NA,NA,,11240,0,0,53,6,0,9,19,0,0,0,0,0,2,2,0,0,0,0,0,0,6,0,0,0,3,3,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,17,0,4,0,0,0,2,8,0,0,0,0,0,0,6,4,0,0,0,0
0.1,NA,NA,NA,NA,,11241,0,3,25,17,0,3,29,0,0,0,0,0,6,0,0,0,1,0,0,0,8,0,0,0,0,0,0,3,0,0,0,2,0,0,2,0,0,0,5,0,0,0,0,24,0,5,0,0,0,0,19,0,0,0,0,0,0,18,0,0,0,0,0
0.2,NA,NA,NA,NA,,11242,0,0,7,21,0,3,7,0,0,0,0,0,7,2,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,5,0,0,0,3,43,0,3,0,0,0,2,8,0,0,0,0,3,0,29,0,0,0,0,0
0.3,NA,NA,NA,NA,,11243,0,0,12,25,0,2,13,0,0,0,0,0,2,0,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,8,0,0,0,0,32,3,3,0,0,0,0,39,0,2,0,3,3,0,58,0,0,3,0,0
0.4,NA,NA,NA,NA,,11244,0,3,10,27,3,3,14,0,0,3,0,0,2,4,0,0,7,0,0,0,18,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,10,0,0,0,3,26,0,18,0,0,0,0,38,0,0,0,0,0,0,53,0,0,0,0,0
0.5,NA,NA,NA,NA,,11245,0,0,28,11,0,2,6,0,0,0,0,0,10,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,7,0,0,0,0,30,0,0,0,0,0,0,13,0,0,0,0,0,0,21,0,0,0,0,0
0.6,NA,NA,NA,NA,,11246,0,0,84,5,0,2,3,0,0,2,0,0,5,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,12,0,3,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0
0.7,NA,NA,NA,NA,,11247,0,0,74,10,0,2,6,0,0,2,0,0,10,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,3,0,0,0,0,6,0,0,0,0,0,0,11,0,0,0,0,0
0.8,NA,NA,NA,NA,,11248,0,0,88,4,0,1,5,0,0,0,0,0,4,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,0
0.9,NA,NA,NA,NA,,11249,0,0,99,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,0,0,0,0,0,0,8,0,0,0,0,0
