depth	min	max	median	mean
39	5998	6272	6151	6143
40	6050	6375	6218	6219
41	6078	6539	6289	6296
42	6198	6587	6378	6382
43	6254	6668	6470	6468
44	6384	6721	6546	6549
45	6443	6834	6625	6630
46	6499	6894	6689	6693
47	6533	7012	6747	6755
48	6582	7092	6818	6822
49	6615	7213	6879	6888
50	6681	7275	6949	6954
51	6720	7365	7014	7020
52	6783	7414	7081	7085
53	6820	7496	7148	7149
54	6885	7547	7212	7212
55	6928	7618	7276	7275
56	7001	7663	7340	7337
57	7042	7730	7403	7398
58	7114	7771	7468	7461
59	7163	7842	7533	7523
60	7260	7881	7596	7587
61	7317	7939	7658	7650
62	7398	7973	7726	7714
63	7454	8035	7792	7779
64	7552	8069	7851	7839
65	7606	8119	7913	7899
66	7774	8150	7967	7965
67	7870	8197	8024	8031
68	7920	8243	8069	8076
69	7946	8322	8113	8121
70	7992	8368	8155	8163
71	8014	8440	8197	8205
72	8048	8489	8239	8247
73	8068	8554	8280	8289
74	8106	8601	8322	8330
75	8132	8658	8360	8371
76	8168	8699	8401	8411
77	8193	8763	8442	8451
78	8232	8799	8484	8493
79	8263	8854	8525	8535
80	8304	8889	8571	8577
81	8337	8938	8614	8619
82	8371	8976	8655	8660
83	8402	9029	8696	8700
84	8443	9058	8738	8739
85	8476	9104	8777	8779
86	8517	9133	8818	8818
87	8554	9171	8859	8858
88	8596	9201	8897	8898
89	8623	9244	8938	8938
90	8675	9276	8981	8978
91	8712	9322	9020	9018
92	8765	9355	9063	9060
93	8793	9393	9107	9101
94	8835	9422	9144	9140
95	8871	9465	9184	9178
96	8930	9498	9226	9220
97	8970	9542	9266	9262
98	9023	9575	9307	9303
99	9068	9611	9350	9345
100	9130	9639	9388	9385
101	9176	9672	9429	9426
102	9242	9695	9464	9465
103	9287	9730	9502	9504
104	9360	9758	9539	9544
105	9413	9797	9577	9585
106	9477	9822	9613	9623
107	9509	9863	9654	9661
108	9542	9906	9692	9699
109	9562	9969	9728	9736
110	9587	10001	9765	9772
111	9607	10055	9800	9808
112	9641	10092	9838	9846
113	9663	10157	9876	9884
114	9691	10191	9912	9918
115	9717	10245	9944	9953
116	9746	10275	9982	9989
117	9768	10334	10019	10025
118	9801	10365	10053	10060
119	9825	10398	10088	10095
120	9863	10442	10123	10131
121	9893	10489	10158	10167
122	9934	10520	10196	10203
123	9956	10567	10233	10239
124	9990	10593	10268	10274
125	10019	10643	10302	10310
126	10056	10669	10338	10345
127	10086	10715	10374	10380
128	10124	10748	10410	10416
129	10158	10797	10446	10452
130	10201	10837	10482	10490
131	10228	10878	10521	10527
132	10268	10921	10556	10564
133	10303	10961	10592	10600
134	10343	11003	10629	10636
135	10377	11055	10665	10673
136	10425	11089	10698	10709
137	10457	11139	10736	10745
138	10499	11166	10771	10780
139	10532	11223	10805	10815
140	10578	11264	10839	10850
141	10615	11303	10873	10885
142	10659	11337	10907	10920
143	10687	11390	10944	10956
144	10745	11425	10977	10991
145	10777	11463	11011	11026
146	10824	11501	11042	11059
147	10856	11542	11075	11093
148	10921	11575	11107	11130
149	10966	11613	11142	11167
150	11059	11654	11183	11215
151	11096	11706	11232	11263
152	11162	11773	11305	11338
153	11189	11866	11374	11412
154	11251	11946	11457	11492
155	11287	12040	11541	11572
156	11356	12098	11628	11655
157	11394	12196	11718	11739
158	11484	12261	11798	11819
159	11535	12362	11879	11900
160	11668	12416	11955	11982
161	11745	12490	12037	12064
162	11868	12539	12135	12155
163	11923	12619	12243	12245
164	11981	12636	12308	12303
165	12017	12661	12372	12361
166	12061	12678	12433	12414
167	12093	12700	12493	12468
168	12129	12725	12539	12516
169	12160	12782	12595	12564
170	12184	12839	12645	12610
171	12208	12935	12688	12657
172	12235	12995	12734	12701
173	12265	13086	12772	12746
174	12276	13165	12807	12784
175	12290	13272	12838	12823
175.00005	12319	14214	13151	13177
176	12348	14266	13222	13239
177	12375	14346	13287	13301
178	12405	14407	13352	13362
179	12433	14492	13422	13423
180	12469	14541	13490	13482
181	12501	14589	13555	13541
182	12532	14647	13626	13601
183	12568	14727	13689	13660
184	12602	14793	13755	13720
185	12627	14862	13818	13780
186	12663	14920	13885	13840
187	12696	15003	13947	13901
188	12722	15066	14016	13961
189	12747	15144	14081	14021
190	12775	15204	14149	14081
191	12797	15273	14220	14140
192	12833	15318	14286	14200
193	12872	15398	14352	14259
194	12904	15438	14417	14318
195	12933	15511	14483	14378
196	12959	15576	14551	14438
197	12986	15644	14617	14497
198	13020	15695	14680	14555
199	13053	15760	14741	14613
200	13116	15818	14811	14690
201	13164	15908	14883	14766
202	13243	15990	14961	14843
203	13298	16078	15033	14920
204	13380	16150	15112	15000
205	13447	16232	15187	15080
206	13531	16311	15266	15157
207	13602	16377	15340	15235
208	13694	16449	15426	15316
209	13763	16529	15504	15397
210	13867	16601	15587	15478
211	13937	16674	15662	15560
212	14052	16746	15741	15644
213	14134	16833	15821	15727
214	14215	16899	15902	15806
215	14300	16982	15979	15884
216	14399	17045	16062	15966
217	14471	17132	16142	16047
218	14562	17187	16221	16128
219	14639	17269	16299	16208
220	14747	17328	16375	16288
221	14835	17398	16450	16368
222	14931	17481	16526	16450
223	15005	17572	16607	16532
224	15124	17630	16701	16621
225	15217	17749	16782	16710
226	15352	17820	16873	16799
227	15445	17907	16960	16888
228	15558	17975	17042	16974
229	15647	18067	17129	17061
230	15741	18140	17218	17149
231	15865	18243	17307	17237
232	15987	18310	17389	17324
233	16096	18393	17473	17412
234	16219	18475	17563	17500
235	16312	18576	17647	17589
236	16437	18651	17728	17678
237	16543	18743	17816	17767
238	16687	18826	17897	17857
239	16790	18901	17988	17947
240	16938	18972	18070	18036
241	17049	19051	18157	18125
242	17155	19144	18235	18211
243	17241	19224	18320	18297
244	17357	19301	18400	18385
245	17448	19347	18482	18472
246	17563	19418	18571	18559
247	17686	19487	18662	18647
248	17811	19568	18746	18737
249	17900	19647	18840	18827
250	18039	19713	18927	18915
251	18150	19803	19007	19003
252	18266	19868	19094	19090
253	18362	19920	19176	19176
254	18466	19998	19247	19249
255	18567	20061	19326	19322
256	18663	20103	19384	19381
257	18739	20129	19447	19440
258	18835	20178	19506	19499
259	18900	20238	19565	19558
260	19002	20255	19622	19618
261	19078	20294	19681	19677
262	19172	20333	19734	19736
263	19246	20429	19795	19795
264	19341	20465	19846	19852
265	19412	20511	19903	19908
266	19495	20552	19964	19971
