depth,Poaceae,Panicoideae,Pooideae,Bambusoideae,Chloridoid,Cyperaceae,Asteraceae,Arboreal,Jubaea
9,106,11,10,8,6,4,0,55,0
13,105,20,44,8,6,4,0,13,0
25,105,1,23,3,4,1,0,63,0
33,82,5,24,5,11,0,0,73,0
43,67,5,11,8,6,1,0,99,3
58,97,3,13,16,2,0,0,66,3
66,109,3,22,12,4,0,0,49,1
78,73,15,37,21,8,0,0,46,0
86,83,22,16,18,10,4,0,41,6
98,75,13,35,14,31,2,0,29,1
106,56,8,8,17,14,1,0,93,3
122,57,23,30,24,14,7,0,43,2
130,76,6,32,27,24,1,0,34,0
138,104,4,24,7,20,6,0,35,0
142,80,2,9,10,5,27,0,67,0
150,42,18,13,26,21,26,0,51,3
158,68,21,10,38,24,4,0,32,3
162,63,34,17,36,27,2,0,18,3
170,159,5,13,6,5,0,0,12,0
178,148,6,8,16,10,0,0,12,0
202,73,25,3,36,21,0,34,8,0
230,29,29,2,56,32,24,1,3,0
254,54,1,0,1,1,0,0,0,0
266,123,4,2,6,3,0,0,1,0
